ID	Name	Name Translation	Message	Message Translation	Description	Description Translation
1	of Galadriel	Галадриэли	The {kind} well{s} with clear light...	{kind} озаряется чистым светом...	A small crystal phial containing the light of Eärendil's Star.  Its light is imperishable, and near it darkness cannot endure.	Маленький хрустальный фиал, содержащий свет Звезды Эарендила внутри. Излучаемый им свет негасим, и тьма возле него отступает. 'Тебя, хранитель, я одариваю последним...'
2	of Elendil	Элендила	The {kind} shine{s} brightly...	{kind} ярко сверкает...	The shining Star of the North, a treasured heirloom of Elendil's house.	Блистающая Звезда Запада, наследство дома Элендила.  'А перед всеми шел Арагорн - и на лбу его горела звезда Элендила.'
3	of Thráin	Трейна	The {kind} form{s} an image in your mind...	{kind} формирует изображение у вас в голове...	A great globe seemingly filled with moonlight, the famed Heart of the Mountain.  It splinters the light that falls upon it into ten thousand sparks of white radiance shot with glints of the rainbow.	Большой шар, кажущийся наполненным лунным светом, знаменитое Сердце Горы, разбивающее падающий на него свет на тысячи ярких лучей. 'Аркенстон, Аркенстон! Словно шар с тысячью граней. Он сиял, как серебро, освещенное пламенем, как вода в солнечный день, как снег под звездами, как капли дождя при свете луны!'
4	of Carlammas	Карлеммаса	The {kind} let{s} out a shrill wail...	{kind} издает протяжный стон...	A fiery circle of bronze, with mighty spells to ward off and banish evil.	Огненно-бронзовый круг с заклинаниями, защищающими от зла.
5	of Ingwë	Ингве	The {kind} flood{s} the area with goodness...	{kind} заполняет подземелье добром...	The ancient heirloom of Ingwë, high lord of the Vanyar, against whom nothing of evil could stand.	Старинный амулет Ингве, правителя Ваньяр, который может победить любое зло в этом мире. '...И самой высокой башней этого города стала башня Ингве, Миндон Эльдалие, чей серебряный светильник был виден далеко за туманами моря. Немногим из кораблей смертных людей довелось увидеть его тонкий луч!'
6	of the Dwarves	'Наугламир'			The Nauglamír, a carcanet of gold set with a multitude of shining gems of Valinor.  The radiant Silmaril of Fëanor hangs in its midst as its crowning glory.  The sturdy spirits of Dwarvish craftsmen who labored long in mountain smithies lie within it still, and as gossamer it rests upon the bearer.	Самая знаменитая из работ гномов, в которую был позже вставлен Сильмарилл. 'Это был золотой обруч с вправленными в него бесчисленными драгоценными камнями из Валинора, но в нем имелся некий секрет, так что носить его было не тяжелее, чем льняную прядь, и какую бы шею он ни охватывал, это выглядело всегда изящно и красиво.'
7	of Westernesse	Вестерноса	The {kind} glow{s} a deep green...	{kind} светится глубоким зеленым...	A great globe with a heart of fire, the Palantír provides the wearer with sight of far places - at a cost, for those espied upon are aware of it.	Блестящий белый шар из неразбиваемого хрусталя. Древние Палантиры использовались королями Нуменора, а позже - Изгнанниками для быстрого сообщения между дальними землями. Ничто не будет скрыто от смотрящего в Палантир, но наблюдаемый будет знать о наблюдателе, как знал Саурон, когда Саруман пытался шпионить за ним с помощью этого Палантира. 'Эти камни были подарены Амандилу, отцу Элендила, как утешение Верным Нуменора в недобрые для них дни. Такие камни назывались Палантиры - Видящие далеко.'
8	of Barahir	Бараира			Twinned serpents with eyes of emerald meet beneath a crown of flowers to form this ring, an ancient treasure of Isildur's house.	Одно из стариннейших сокровищ дома Исилдура. '...Слова его звучали гордо, и все взгляды обратились на кольцо; в нем сверкнули зеленые камни, творение Нолдор в Валиноре. Это кольцо формой было подобно двум змеям с изумрудными глазами, и головы их встречались под короной из золотых цветов, которую одна поддерживала, а другая пожирала. То был знак Финарфина и его рода.'
9	of Tulkas	Тулкаса	The {kind} glow{s} brightly...	{kind} ярко светится...	The treasure of Tulkas, most fleet and wrathful of the Valar.	Сокровище Тулкаса, самого доблестного и яростного из Валар. 'Волосы и борода Тулкаса золотые, а лицо красное. Оружием ему служат собственные руки.  Его мало интересуют и прошлое, и будущее. От него, как от советчика, мало пользы, но он - надежный друг.'
10	'Narya'	Власти 'Нарья'	{name} glows deep red...	{name} светится глубоким красным...	The Ring of Fire, made of gold and set with a ruby that glows like flame.  Narya is one of the three Rings of Power created by Celebrimbor and hidden by the Elves from Sauron.	Кольцо Огня, с рубином, горящим ярче пламени. Нарья - одно из Трех Колец, созданных эльфами и скрытых ими от Саурона.
11	'Nenya'	Власти 'Нэнья'	{name} glows bright white...	{name} светится ярко-белым...	The Ring of Adamant, made of mithril with a pure white stone as centerpiece.  Nenya is one of the three Rings of Power created by Celebrimbor and hidden by the Elves from Sauron.	Кольцо Адаманта, украшенное чистым белым камнем. Нэнья - одно из Трех Колец, созданных эльфами и скрытых ими от Саурона.
12	'Vilya'	Власти 'Вилья'	{name} glows deep blue...	{name} светится глубоким синим...	The Ring of Sapphire, made of gold with a brilliant blue gem that shines like stars.  It glitters untouchable despite all that Morgoth ever wrought.  Vilya is one of the three Rings of Power created by Celebrimbor and hidden by the Elves from Sauron.	Кольцо Сапфира, камень которого сверкает ярче звезд, как вызов всей злобе Моргота. Вилья - одно из Трех Колец, созданных эльфами и скрытых ими от Саурона.
13	'The One Ring'	Всевластья	{name} glows intensely black...	{name} светится черным...	"One Ring to rule them all, One Ring to find them, One Ring to bring them all and in the darkness bind them."  Made of massive gold, and inscribed with hidden runes in the foul speech of Mordor, Isildur's Bane possesses powers so great that it inevitably twists and masters any mortal being who wears it.	'Одно Кольцо покорит их, Одно Кольцо соберет их, Одно Кольцо найдет их и в черную цепь скует их.' Сделанное из массивного золота и исписанное рунами на злом языке Мордора, Проклятье Исилдура обладает силами настолько великими, что оно неизбежно порабощает любое существо, владеющее им.
14	'Elessar'	'Элессар'	You feel a warm tingling inside...	Вы чувствуете теплое покалывание...	A green stone, imbued with the power of Elvendom and the light of the Sun.  Those who gaze through it see the aged and infirm as young again, and its wearer brings healing after victory in battle.	Зеленый берилл, выточенный эльфами, подаренный настояму Королю Людей для исцеления после победы в битве. '...Этот камень я [Галадриэль] дала своей дочери Келебрайне, а та - своей, но теперь он переходит к тебе как символ надежды. И в этот час прими имя, предсказанное тебе, Элессар - Эльфийский Берилл дома Элендила.'
15	'Evenstar'	'Вечерняя Звезда'	Your {kind} glow{s} a deep red...	Ваш {kind} светится глубоким красным...	A plain white jewel, given by Queen Arwen to Frodo Baggins before his return to the Shire.	Простой белый камень, подаренный Королевой Арвен Фродо Бэггинсу перед его возвращением в Шир.
16	'Razorback'	'Отвратитель Лезвий'	Lightning surrounds your {kind}!	Молния обволакивает ваш {kind}!	A massive suit of heavy dragon scales deeply saturated with many colors.   It throbs with angry energies, and you feel the raw elemental might of untamed Lightning as you put it on.	Тяжелые доспехи из чешуй дракона, глубоко окрашенные всеми цветами. Вы чувствуете в себе дикие и необузданные силы Молнии, надевая их.
17	'Bladeturner'	'Крушитель Клинков'	{name} glow{s} many colors...	{name} светится всеми цветами...	An adamant suit with scales of every color.  Untrammelled powers elemental and ethereal swirl around it in an inextricably intermingled nimbus.	Доспехи из адаманта, с дракониьми чешуями всех цветов, окруженные всесокрушающими силами элементов и эфира.
18	'Mediator'	'Равновесие'	Lightning surrounds your {kind}!	Молния обволакивает ваш {kind}!	A great suit of dragon hide, set with scales of many hues.  Even the mightiest wyrms of Law and Chaos fear the judgement of its wearer.	Доспехи из чешуи могучего змея. Даже самые могущественные драконы Порядка и Хаоса страшатся правосудия из владельца.
19	'Soulkeeper'	'Хранитель Душ'	{name} glows a bright white...	{name} светится ярко-белым...	A suit of imperishable adamant with unconquerable strength to endure evil and disruptive magics.  It protects the life force of its wearer as nothing else can.	Броня из нерушимого адаманта, защищающая от любой злой и разрушительной магии, сохраняющая жизненную силу владельца, как ничто более не смогло бы.
20	of Isildur	Исилдура			A gleaming steel suit covering the wearer from neck to foot, with runes of warding and stability deeply engraved into its surface.	Доспехи из блестящей стали, защищающие владельца от шеи до ступней, с рунами защиты и стабильности, глубоко занесенными на поверхность.
21	of the Rohirrim	Рохиррим			Small steel plates cover an inner layer of sturdy canvas, and both metal and cloth bear scenes of hunting and war.  As you don the armour of Eorl the Young, matchless in combat, you feel his spirit surround you.	Маленькие металлические пластинки на слое прочного полотна, изукрашенные сценами охоты и сражений. Вы чувствуете дух Эорла Юного, несравненного в бою, надевая его доспехи.
22	'Belegennon'	'Белегеннон'	{name} twists space around you...	{name} искривляет пространство вокруг вас...	This wondrous suit of fine-linked chain shimmers as though of pure silver.  It stands untouched amidst the fury of the elements, and a power of concealment rests within.	Эта чудесная кольчуга сверкает, как чистое серебро. Она выстоит против любой ярости элементов, и сила спокойствия лежит внутри нее.
23	of Celeborn	Келеборна	Your {kind} glow{s} deep blue...	Ваш {kind} светится глубоким синим...	A shimmering suit of true-silver, forged long ago by dwarven smiths of legend. It gleams with purest white as you gaze upon it, and mighty are its powers to protect and banish.	Ярко сверкающие доспехи из истинного серебра, выкованные давным-давно гномами-кузнецами легенды. Они светятся чистейшим белым, и их силы защиты легендарны.
24	of Arvedui	Арведуи			A hauberk, leggings, and sleeves of interlocking steel rings, well padded with leather.  You feel as strong and tall as Arvedui, last king of Arnor, as you put it on.	Доспехи из стальных колец, подбитых кожей. Вы чувствуете себя таким же сильным и величавым, как Арведуи, последний король Арнора, надевая их.
25	of Caspanion	Каспаньона	Your {kind} glow{s} bright red...	Ваш {kind} светится ярко-красным...	A hauberk, leggings, and sleeves of interlocking steel rings, strategically reinforced at vital locations with a second layer of chain.  Magics to enhance body and mind lie within, and no door can bar the wearer's path.	Доспехи из стальных колец, кое-где защищенные вторым слоем кольчуги. Магия силы тела и духа лежит на них, и ни одна дверь не сможет более преградить путь ее владельца.
26	of Himring	Химринга	The {kind} let{s} out a shrill wail...	{kind} издает протяжный стон...	In this studded cuirass of pliable leather lives the memory of unvanquished Himring, defiant fortress surrounded by the legions of Morgoth.	В этих простых кожаных доспехах заключена память о несдавшемся Химринге, крепости Маэдроса, окруженной легионами Моргота.
27	'Hithlomir'	'Хитломир'			Familiar with the secret ways hidden in darkness, this leather cuirass is truly more than it appears.	Знакомые с секретами темноты, эти кожаные доспехи заключают в себе больше, чем можно предположить по их виду.
28	'Thalkettoth'	'Талкенттот'			An amazingly light tunic and skirt sewn with thick, overlapping scales of hardened leather.  Those who wear it move with agility and assurance.	Изумительно легкие кожаные доспехи. Носящий их двигается с ловкостью и уверенностью.
29	of Gil-galad	Гил-Гэлада	Your {kind} glow{s} with the light of a thousand stars...	Ваш {kind} вспыхивает светом тысячи звезд...	The legendary shield of Ereinion Gil-galad, who fought his way to the gates of the Dark Tower, and with whom came light even to Gorgoroth.	Легендарный щит Эрейниона Гил-Гэлада, дошедшего до ворот Черной Башни и принесшего свет даже на равнины Горгорота. 'Войско Гил-галада одержало победу. Они вошли в Мордор и осадили крепость Саурона. Они держали осаду семь лет, неся тяжелые потери от огня, стрел и молний врага. Там погиб Анарион и многие другие.'
30	of Thorin	Торина			Invoking the strength and endurance of Thorin, King under the Mountain, this little metal shield is proof against the Element of Earth.	Хранящий силу и стойкость Торина, Короля под Горой, этот железный щит идеально защищает против элемента Земли.
31	of Celegorm	Келегорма			This shield emblazoned with a multitude of creatures unseen for ages once protected Celegorm, Lord of Himlad; around it, a mystic balance lies, containing the conflicts of the elements.	Этот щит, на котором изображены существа, невиданные много веков, когда-то защищал Келегорма, правителя Химлада; вы ощущаете в нем странный баланс, успокаивающий конфликты элементов.
32	of Anárion	Анариона			The great metal-bound shield of Elendil's younger son Anárion, whom even Sauron could not corrupt.	Большой щит Анариона, сына Элендила, которого сам Саурон не смог повергнуть или ослабить.
33	of Celebrimbor	Селебримбэра			A metal cap forged by the greatest Noldorin smith of the Second Age, this helm serves equally well in battle or at the forge, and its enchantment will never be diminished.	Головной убор величайшего Нолдорского кузнеца Второй Эпохи. Этот шлем будет полезен и в бою, и в кузнице, и его чары не могут померкнуть. 'Эльфы [Келебримбора из Остранны] в те времена изготовили Три Кольца, которые обладали величайшим могуществом, и назывались они Нарья, Нэнья и Вилья - Кольцо Огня, Кольцо Воды и Кольцо Воздуха, в них были вправлены рубин, алмаз и сапфир.'
34	of Morgoth	Моргота			Containing much of the power of he who once was mightiest among the Ainur, this plain iron crown has mounted upon it the two remaining Silmarils, greatest treasures of Middle-Earth.	Два Сильмарилла Феанора сверкают из огромной железной короны. Металл на ощупь кажется жарким как адское пламя и холодным как Внешняя Тьма. Одно отверстие в ней пусто; в нем мог сверкать третий камень. 'Черная тень пала на Белерианд, и в Ангбэнде Моргот выковал огромную железную корону и провозгласил себя королем мира. И в знак этого он вправил Сильмариллы в свою корону.'
35	of Berúthiel	Берутиэли			The midnight-hued steel circlet of the sorceress-queen Berúthiel.  It grants extraordinary powers of sight and awareness at a terrible physical cost.	Черный стальной обруч королевы-колдуньи Берутиэли, дающий ненормальные силы предвидения за ужасную физическую цену.
36	of Thranduil	Трандуила			The hunting cap of King Thranduil, to whose ears come all the secrets of his forest domain.	Шапка короля Трандуила, до чьих ушей доходили все секреты его леса.
37	of Thengel	Тенгела			A ridged helmet made of steel and embossed with scenes of valor in fine-engraved silver.  It grants the wearer nobility and understanding.	Стальной шлем, украшенный серебряными гравюрами. Он дает владельцу благородство и мудрость.
38	of Hammerhand	Хельма			A great helm, as steady and as distinctive as the hero of the Westdike.  Many long months was Helm Hammerhand besieged in the Hornburg, yet he strode out time and again among his foes and slew many.  Although they knew of his coming, none could stand against him. 	Огромный шлем, похожий на своего владельца, героя Вестдайка. Долгие месяцы Хельм был осажден в Горнбурге, но он много раз выбирался из него к своим врагам и сражал многих, и хотя они знали о его приближении, никто не мог выстоять перед ним.
39	of Dor-Lómin	Дор-Ломина			The legendary Dragon-helm, forged by one of the legendary Dwarven smiths of the First Age.  The visage of mighty Glaurung forms its crest, and the mere sight of the helm, borne by Túrin Turambar, struck dread into the hearts of the servants of Morgoth.	Легендарный драконий шлем Турина Турамбара, предмет ужаса прислужников Моргота. 'А когда эльфы тронулись в обратный путь, Морвен послала вместе с ними шлем дракона из Дор-Ломина, наследственную реликвию дома Хадора.'
40	'Holhenneth'	'Холхеннет'	{name} forms an image in your mind...	{name} формирует изображение у вас в голове...	A famous forged iron helm granting extraordinary powers of mind and awareness.	Знаменитый шлем, дающий необычные силы разума и предвидения.
41	of Gorlim	Горлима			A headpiece, gaudy and barbaric, that betrayed a warrior when he most needed succor.	Железный шлем, большой и грубый, предавший воина, когда ему больше всего требовалась помощь. 'Вернувшись с войны на границах, Горлим нашел свой дом разграбленным, жена же его исчезла, и он не знал, убита ли она или захвачена в плен. Тогда он ушел к Бараиру и из его товарищей был самым свирепым и отчаянным, но сомнения терзали его сердце: может быть, Эйлинель не умерла.  Иногда Горлим тайно уходил один и посещал свой дом, которым он владел когда-то, все еще стоявший среди полей и лесов. И это стало известно слугам Моргота.'
42	of Gondor	Гондора	You feel a warm tingling inside...	Вы чувствуете теплое покалывание...	From dying Númenor, Elendil brought this shining winged circlet, emblem of Gondor through an age of the world.	Блистающий золотой обруч, спасенный Элендилом из погибающего Нуменора - эмблема Гондора во все эпохи мира.
43	of Númenor	Нуменора			A massive golden crown, set with wondrous jewels of thought and warding, once worn by the kings of ancient Númenor.	Корона из тяжелого золота, украшенная изумительными камнями мысли и защиты, носимая королями древнего Нуменора. Ее владелец может идти в бой, всегда зная, что он встретит - если его гордыня не ослепит его.
44	'Colluin'	'Коллуин'	{name} glows many colours...	{name} светится всеми цветами...	A cape worn by a hero from Valinor, a land utterly beyond the strife of Elements.	Плащ героя из Валинора - земли, недосягаемой для ярости элементов.
45	'Holcolleth'	'Холколлет'	{name} glows deep blue...	{name} светится глубоким синим...	This elven-grey mantle possesses great powers of tranquility and concealment, and grants the wearer the knowledge and understanding of the Sindar.	Эта серая эльфийская мантия обладает огромными силами спокойствия и сокрытия, и дает носящему ее знания Синдар.
46	of Thingol	Тингола	Your {kind} glow{s} bright yellow...	Ваш {kind} светится ярко-желтым...	A translucent cloak of pearly grey with glowing, energized Elven runes showing calm and clear as moonlight on still water.	Полупрозрачный жемчужно-серый плащ, с эльфийскими рунами восстановления магии, спокойный и чистый, как лунный свет в воде.
47	of Thorongil	Торонгиля			This shimmering cloak of greens and browns was once worn by the young Aragorn, a keen-eyed captain of Rohan and Gondor, valiant on both land and sea.	Этот сверкающий плащ зеленых и коричневых оттенков носился молодым Арагорном, будущим правителем Гондора, когда он носил имя Торонгиля.
48	'Colannon'	'Коланнон'	Your {kind} twist{s} space around you.	Ваш {kind} распрямляет пространство вокруг вас.	A crystal-blue cape of fine silk worn by a silent messenger of the forces of Law.  Seldom will its wearer be diverted from his mission.	Хрустально-синий шелковый плащ, носимый тихим посланцем сил Порядка. Редко будет его владелец сбиваться с пути.
49	of Lúthien	Лучиэни	Your {kind} glow{s} a deep red...	Ваш {kind} светится глубоким красным...	The opaque midnight folds of this cloak, inlaid with a multitude of tiny diamonds, swirl around you, and you feel a hint, a fragment of the restorative magics of Lúthien, the most beautiful being who ever knew death.	Темная ткань этого плаща со множеством крошечных алмазов струится около вас, и вы чувствуете остатки знаний и сил восстановления Лучиэни, красивейшего из существ, познавших смерть.
50	of Tuor	Туора			From the ruin of Gondolin, through secret ways and travail, did Tuor escape, mantled by sea-commanding Ulmo's kingly gift from a multitude of hostile eyes.	Из руин Гондолина спасся Туор через секретные пути, этим подарком Ульмо скрывшийся от враждебных глаз.
51	of Eöl	Эола	Your {kind} glow{s} white...	Ваш {kind} светится белым...	The iron-shod gauntlets of the Dark Elven smith Eöl, who imbued them with magics he could channel in battle.	Эти железные перчатки кузнеца Темных Эльфов Эола светятся магией, которую он мог использовать в бою. 'Но теперь деревья Нан Эльмота стали выше и угрюмее всех других в Белерианде, и солнце никогда не проникало туда. И там жил Эол, прозывавшийся Темным Эльфом.'
52	'Cambeleg'	'Кембелег'			A hero's handgear that lends great prowess in battle.	Перчатки героя, невероятно полезные в бою.
53	'Cammithrim'	'Кеммитрим'	{name} glows very brightly...	{name} светится очень ярко...	These gloves glow so brightly as to light the way for the wearer and cast magical bolts with great frequency.	Эти перчатки освещают вам путь, и могут колдовать волшебные стрелы с огромной частотой.
54	'Paurhach'	'Пархах'	Your {kind} {is} covered in fire...	Ваш {kind} покрывается пламенем...	A set of gauntlets that smoulder with an unnatural heat.	Эти железные перчатки пылают неестественным жаром.
55	'Paurnimmen'	'Парниммен'	Your {kind} {is} covered in frost...	Ваш {kind} излучает холод...	A set of handgear, freezing with unnatural cold.	Эти железные перчатки неестественно холодны.
56	'Pauraegen'	'Пареген'	Your {kind} {is} covered in sparks...	Ваш {kind} сыплет искрами...	A set of handgear with sparks that crackle across its knuckleguards.	Между этими железными перчатками проскакивают искры.
57	'Paurnen'	'Парнен'	Your {kind} {is} covered in acid...	Ваш {kind} покрывается кислотой...	A set of gauntlets that give off a foul, acrid odour yet remain untarnished.	Эти железные перчатки пахнут противным кислым запахом.
58	'Camlost'	'Кемлост'			A pair of weakening gauntlets, named after Beren, who returned to Thingol having lost to Carcharoth the hand that clasped a Silmaril.	Пара проклятых перчаток, делающих владельца беспомощным в бою, названная в честь пустой руки Берена, державшей Сильмарилл. 'Берен протянул свою левую руку и медленно разжал пальцы, но рука была пуста. И он поднял правую руку, и с того часа стал называть себя Кемлостом, Пусторуким.'
59	of Fingolfin	Фингольфина	Your {kind} grow{s} magical spikes...	Ваш {kind} покрывается шипами...	The hand-sheathing of Fingolfin, the Elven warrior-king, who dealt Morgoth seven mighty wounds and pain that will last until the end of Arda.	Перчатки Фингольфина, короля эльфов и людей, нанесшего Морготу семь ужасных ран, и боль, которая не пройдет никогда. 'Много раз пытался Моргот поразить Фингольфина, но все время тот отскакивал, быстрый, как молния из черной тучи. И он нанес Морготу семь ран, и семь раз Моргот издавал крик страдания, а войско Ангбанда при этом падало в ужасе ниц, и эхо северных стран вторило криком.'
60	of Fëanor	Феанора	Your {kind} glow{s} bright green...	Ваш {kind} светится ярко-зеленым...	This wondrous pair of leather boots once sped Fëanor, creator of the Silmarils and the mightiest of the Eldar, to fulfill his hero's challenge and do battle for a Middle-Earth held in thrall.  "Dear-bought those songs shall be accounted, and yet shall be well-bought.  For the price could be no other."	Эти чудесные ботинки когда-то несли Феанора, создателя Сильмариллов и величайшего из Эльдаров, в порабощенное Средиземье. 'Дорого будут куплены эти песни, но иной цены быть уже не может!'
61	'Dal-i-thalion'	'Дал-и-талион'	Your {kind} glow{s} deep blue...	Ваш {kind} светится глубоким синим...	A pair of high-laced shoes, bestowing of extraordinary agility and proof against the powers of corruption and withering.	Пара высоких туфель, помогающих устоять против сил разрушения и устрашения и дающих владельцу непревзойденную ловкость.
62	of Thrór	Трора			Sturdy footwear of leather and steel as enduring as the long-suffering Dwarven king-in-exile who wore them.	Прочные сапоги из кожи и стали, принадлежавшие гномьему королю-изгнаннику.
63	of Wormtongue	Гнилоуста	Your {kind} twist{s} space around you.	Ваш {kind} искривляет пространство вокруг вас...	A pair of running shoes once used by the treacherous Gríma son of Gálmód, the Wormtongue of Edoras.  They are aptly suited for a messenger, a servant, a spy... or a coward.	Пара туфель, носимых предателем Гримой, сыном Гальмода, Гнилоустом из Эдораса. Они хорошо подойдут посланнику, слуге, шпиону... или трусу.
64	of Maedhros	Маэдроса			A short thrusting blade with a large guard worn by the eldest son of Fëanor, Maedhros the Tall, who lost his right hand while escaping from Angband.	Короткий клинок, которым сражался левой рукой Маэдрос Высокий, старший сын Феанора, потерявший правую руку в заключении в Ангбэнде. '...Но Фингон не смог освободить его запястья от адских оков: ни рассечь их, ни вырвать из камня.  И потому в своем страдании Маэдрос снова просил Фингона убить его, но Фингон отсек ему руку выше запястья, и Торондор унес их обоих в Митрим.'
65	'Angrist'	'Ангрист'			Forged by Telchar, greatest of Dwarven smiths, and used by Beren to gouge a Silmaril out of Morgoth's crown, this long chopping dagger slices through ordinary metal as easily as its name, "Iron Cleaver", suggests.	Выкованный из метеоритного железа, этот длинный кинжал разрубает металл так же легко, как его имя - "Расщепитель Железа" - позволяет предполагать. 'Затем он [Берен] выхватил нож Ангрист и вырезал один Сильмарилл из железной оправы, удерживающей его.'
66	'Narthanc'	'Нартанк'	{name} is covered in fire...	{name} покрывается пламенем...	Instead of a blade, a flame seems to emerge from this dagger's hilt.	Из рукояти этого кинжала, кажется, исходит само пламя.
67	'Nimthanc'	'Нимтанк'	{name} is covered in frost...	{name} излучает холод...	From the hilt of this dagger springs not so much a blade as an icicle.	Из рукояти этого кинжала, кажется, исходит сосулька вместо клинка.
68	'Dethanc'	'Dethanc'	{name} is covered in sparks...	{name} сыплет искрами...	In this dagger is bound the very force of lightning.	В этом неприметном кинжале содержатся силы молнии.
69	of Rilia	Рильи	{name} throws deep green shadows...	{name} отбрасывает глубокие зеленые тени...	A large stiletto dagger that glistens with odorless poison, to which the wearer seems oddly immune.	Большой стилет, отравленный ядом без запаха, к которому его владелец кажется неуязвимым.
70	'Belangil'	'Белангиль'	Your {kind} {is} covered in frost...	Ваш {kind} излучает холод...	A frosty dagger wreathed in a nimbus of ice with a hilt of elk horn and an edge to wound the wind.	Очень холодный кинжал; его покрытое инеем лезвие рассекает ветер.
