ID	Name	Name Translation	Message	Message Translation	Description	Description Translation
71	'Calris'	'Калрис'			This sword has runes of power incused on its ornate hilt, and a single blood channel that gleams coldly blue as you grasp this mighty weapon of peril.	Руны власти высечены на рукояти этого меча, и единственная кроваво-красная полоса на нем горит холодным синим, когда вы поднимаете это опасное оружие. Когда-то оно принадлежало Балрогу; сможете ли вы справиться с ним так же хорошо?
72	'Aranrúth'	'Аранрут'	{name} glows a pale blue...	{name} светится бледно-синим...	The beautiful sword of Thingol, justly named "King's Ire".  It glistens icy enough to freeze the hearts of demons, and you feel supple and lightfooted as you clasp its hilt of gold and silver inlay.	Красивый меч короля Тингола, сверкающий льдом, от которого стынут сердца демонов. Вы чувствуете себя легким и быстрым, берясь за его рукоять, украшенную золотом и серебром. ' - Выбирай из всего, что я имею, - сказал Тингол, - не бери лишь Аранрут, мой собственный!'
73	'Glamdring'	'Глемдринг'			This fiery, shining blade, mate to Orcrist, earned its sobriquet "Beater" from dying orcs who dared to behold hidden Gondolin.	Этот клинок, сверкающий огнем, родственник Оркриста, заслужил прозвище "Колотун" у умирающих орков, осмелившихся взглянуть на скрытый Гондолин.
74	'Aeglin'	'Аэглин'			Like unto Orcrist and Glamdring, and like them long lost, this sword is continually covered in tiny arcs of captive lightning that flash and dance eerily in the globes of light they create.	Похожий на Оркрист и Глемдринг, и, как и они, долгое время потерянный, этот меч покрыт крошечными искрами молнии, которые весело мерцают и танцуют в отблесках синего света.
75	'Orcrist'	'Оркрист'			This coldly gleaming blade, mate to Glamdring, is called simply "Biter" by orcs who came to know its power all too well.	Холодно сверкающий клинок, родственник Глемдринга, зовущийся "Кусач" орками, которые слишком хорошо знают его силу.
76	'Gurthang'	'Гуртанг'			A giant sword once wielded by mighty Túrin, and an even greater dragonbane; for what wyrm could stand against the blade that bathed in Glaurung's blood?	Огромный меч, когда-то носимый Турином, и еще большая гроза для драконов;  ибо какой змей выстоит перед клинком, купавшимся в крови Глаурунга? 'С виду Турин был истинным сыном Морвен: темноволосый, бледнокожий, сероглазый, речь и манеры его напоминали о былых вождях Дориата, и потому многие называли Турина Аданеделем, Эльфом-человеком. Искусные кузнецы перековали для него меч Англашель, и Турин дал ему название Гуртанг, Железо Смерти.'
77	'Zarcuthra'	'Заркутра'			Runes dark and deadly stand stark against the naked steel of this awesome weapon, and you feel a wrathful power of slaying and rending as you slowly approach.	Темные смертельные руны горят на голой стали этого могучего оружия, и вы чувствуете яростные силы истребления и разрушения, касаясь его.
78	'Mormegil'	'Мормегиль'			A foul, twisted sword with blackened spines and knobs, its very name is a curse upon the lips of Elves and Men.  It is said that it will drink the very lifeblood of its wielder.	Злой, черный меч, само имя которого - проклятье на губах эльфов и людей. Говорят, что он выпьет кровь своего владельца. '...Из стали зазвенел голос: - Да, я с радостью выпью твою кровь, чтобы я смог забыть кровь Белега, моего хозяина, и кровь Брандира, убитого несправедливо. Я убью тебя быстро!'
79	'Gondricam'	'Гондрикам'			Famed sea-defender of Lebennin.  A short, slightly curved chopping blade with a perfect edge shining cleanly in the sun, an object of hate to the men of Umbar who met it in combat.	Знаменитый морской защитник Лебеннина. Короткий, слегка кривой клинок, с идеальной кромкой, ярко горящий на солнце; предмет ненависти людей Умбара, встретивших его в бою.
80	'Crisdurian'	'Крисдуриан'			A giant's weapon, with a long blade tall and straight thrusting out from a massive double-pronged hilt.  On its blade are written doomspells against both the living and undead.	Оружие гиганта, с длинным прямым клинком и массивной рукоятью. На его клинке написаны заклинания, поражающие живых и мертвых.
81	'Aglarang'	'Агларанг'			An utterly perfect, cleanly chiseled sword, with an edge that effortlessly slices rock and bone, and spells to render the wearer lithe and nimble.  It is combat incarnate.	Идеальный, чистый меч, с кромкой, легко режущей камень и кость, и заклинаниями, делающими владельца ловким и быстрым. Он - воплощение боя.
82	'Ringil'	'Рингиль'	{name} glows an intense blue...	{name} светится насыщенным синим...	The weapon of Fingolfin, High King of the Noldor; it shines like a column of ice lit by light unquenchable.  Morgoth came but unwillingly to meet it of old; his lame foot will remind him of its might should he face it again.	Оружие Фингольфина, Высокого Короля Нолдор; этот меч блистает, как лед, горящий негасимым светом. Моргот против своей воли встретился с ним один раз, и его хромая нога напомнит ему о его силе. 'Он [Моргот] появился, одетый в черные доспехи, и встал перед королем, подобный башне, коронованный железом, и его огромный щит, темный, украшенный гербами, отбрасывал на Фингольфина тень, как грозовое облако. Но Фингольфин светился в ней, подобно звезде, потому что его кольчуга была покрыта серебром, а голубой его щит отделан хрусталем. Он выхватил свой меч Рингиль, блеснувший холодно, как лед...'
83	'Andúril'	'Андрил'	{name} rages in fire...	{name} пылает огнем...	The famed "Flame of the West", the Sword that was Broken and is forged again.  It glows with the essence of fire, its wearer is mighty in combat, and no creature of Sauron can withstand it.	Знаменитое "Пламя Запада", меч, сломанный и выкованный вновь. Он горит ярким огнем, и ни одно существо Саурона не смогло бы противостоять ему. '...В те дни на Севере объявился Наследник Исилдура, и он взял обломок меча Элендила, и в Имладрисе лезвие было сковано заново.'
84	'Anguirel'	'Ангуриэл'			Forged of meteoric iron by Eöl the Dark Elf, and as deadly as any other blade he forged.	Клинок, выкованный из черного галворна, метеоритной стали, кузнецом Эолом; такой же смертельный, как и любое другое его творение. 'Там [у гномов] Эол узнал многое о работе с металлом и стал весьма искусен в ней. Он изобрел металл прочный, как сталь гномов, но такой ковкий, что Эол мог делать его тонким и гибким и все же непроницаемым для любых лезвий и стрел. Этот металл, который Эол назвал Галворн, был черным и блестел подобно агату.'
85	'Elvagil'	'Эльвагиль'			The "Singing Blade", whose wearer can slay Orcs and Trolls in the hidden and secret places of the earth.	"Поющий Клинок", владелец которого может истреблять орков и троллей в скрытых и секретных местах земли.
86	'Forasgil'	'Форасгиль'			A slender, tapered needle of ice that coldly grips its impaled prey.	Длинный ледяной клинок, обжигающий холодом раненых им.
87	'Careth Asdriag'	'Карет Асдриаг'			An heirloom of the dauntless Lords of Rhûn far to the east, and a name of dismay to creatures natural and unnatural.	Наследство Лордов Руна далеко на востоке, которого страшатся как естественные, так и неестественные существа.
88	'Sting'	'Жало'			"I will give you a name, and I shall call you Sting."  The perfect size for Bilbo, and stamped forever by the courage he found in Mirkwood, this sturdy little blade grants the wearer combat prowess and survival abilities he did not know he had.	'Я дам тебе имя, и я назову тебя Жало.' Идеальный размер для Бильбо, память его храбрости в Черном Лесу, этот прочный маленький меч дает владельцу возможности выживать, о которых он и не знал.
89	'Haradekket'	'Харадеккет'			A damascened scimitar that hefts with wondrous ease.  Famed in song as the "Sickle of Harad", and a deadly foe to the undead.	Ятаган, поднимающийся с чудесной легкостью, помянутый в песнях как "Серп Харада".
90	'Dagmor'	'Гилеттар'			A stubby blade worn by Beren, whose horn sounded of old in the glades of Brethil.	Короткий клинок, носимый Береном, чей рог звучал когда-то в Бретиле.
91	'Doomcaller'	'Зов Судьбы'			This weapon of wrath, wrought by a desperate berserker gang, dives hungrily into the yielding flesh of your enemies.  You yourself fall under the shadow of death even as you inflict wounds that will not heal.	Это оружие ярости, заклятое жестоким гневом, голодно врубается в плоть ваших врагов. Вы сами подпадаете под тень смерти, нанося страшные раны, которые нельзя исцелить.
92	of Melkor	Мелькора			A mighty, heavy black spear, once wielded by the Lord of Darkness himself as he came to Valinor in wrath.  Its envenomed bite pierced the Two Trees with wounds that would not heal.	Большое и тяжелое копье, которым Мелькор убил Древа Валинора. 'Тогда мрак Унголиант поднялся до самых корней деревьев, а Мелькор прыгнул на холм и своим черным копьем поразил каждое дерево до самой сердцевины, нанеся им страшные раны. И сок их, как кровь, хлынул наружу и разлился по земле...'
93	of Théoden	Теодена	Your {kind} glow{s} black...	Ваш {kind} светится черным...	The narrow axe head of this weapon would pierce the armour of a very Dragon, and the designs of your enemies stand naked and revealed.	Этот узкий топор может пробить броню дракона, и с ним планы ваших врагов лежат обнаженными и раскрытыми.
94	of Pain	Боли			The massive cleaver that crowns this glaive glows blood-red and black; fell spells of annihilation swirl and dance as you swing death's myrmidon down.	Это массивное оружие светится кроваво-красным и черным; страшные заклятья аннигиляции трепещут вокруг вас, когда вы опускаете этот мирмедон смерти.
95	'Osondir'	'Озондир'			Lordly and tall did Osondir stand against the wrath of giants, and clear-eyed in barrows fell, wielding a halberd glowing ruby red.	Величественным и высоким стоял павший в курганах Озондир против гнева гигантов, со своей рубиново-красной алебардой в руках.
96	'Til-i-arc'	'Тил-и-арк'			Within this long two-handed spear dwell the spirits of frost giants and fire demons, who war forever, fettered by sorcerous binds.	В этой длинной двуручной пике обретаются духи ледяных гигантов и огненных демонов, вечно враждующие.
97	'Aiglos'	'Айглос'	{name} glows an intense blue...	{name} светится насыщенным синим...	The mighty spear of Gil-galad, famed as "Snow-point" in the songs of Elves.  Against it, all the foul corruptions of Sauron dashed in vain.	Могучее копье Гил-Гэлада, известное как "Снежное Острие" в песнях Эльфов, которого страшились прислужники Саурона.
98	of Oromë	Ороме	Your {kind} pulsate{s}...	Ваш {kind} пульсирует...	The thrusting spear of wise Oromë the Vala, strong against giants of frost, and able to pierce rock or flesh with ease.	Копье мудрого Ороме, легко пробивающее и камень, и плоть. 'И Ороме, повелитель зверей, тоже иногда бывал во мраке лишенных света лесов. Он появлялся там как могучий охотник с копьем и луком, безжалостно преследуя чудовищ и падших созданий королевства Мелькора. И белый конь Ороме, Нахар, сверкал во мраке, как серебро.'
99	'Nimloth'	'Нимлот'			A thin spike of thrice-forged steel caps a straight silvan shaft cut from a legendary tree, and spells to break the wills of the undead and strike cold into the breasts of your enemies lay upon this perfectly balanced spear.	Тонкий шип чистой стали венчает серебристую рукоять, вырезанную из легендарного дерева; заклинания, разрушающие волю, движущую живыми мертвецами, лежат на этом идеально сбалансированном копье. '...И Саурон убеждал короля срубить Белое Дерево, Нимлот Прекрасный, который рос перед его дворцом, поскольку оно было напоминанием Эльдар о свете Валинора.'
100	of the Eorlingas	Эорлингов			"Forth Eorlingas!"  To the field of Celebrant, Eorl the Young came beyond hope to save beleaguered Gondor, and from his lance fled massive trolls and dire wolves.	"Вперед, Эорлинги!"  На поле Кормаллена пришел Эорл Юный, когда пропала надежда спасти Гондор, и от его копья бежали тролли и волколаки.
101	of Durin	Дарина			The twin massive axe heads of this ancient demon's dread gleam with mithril inlay telling sagas of endurance.  The powers of Khazad-dûm protect its wielder and slay all evils found underground.	Эта двойная массивная секира, знаменитый предмет ужаса демонов, сверкает мифрилом. Она хранит силы Казад-Дума, чтобы защитить своего владельца, и изничтожить все зло под землей.
102	of Eönwë	Эонве	Your {kind} let{s} out a long, shrill note...	Ваш {kind} издает протяжную ноту...	The axe of Eönwë, leader of the Hosts of the West in the War of Wrath, strikes with icy wrath at the undead, disperses hosts of evil at a word, and grants Maia-like powers of body and mind.	Секира Эонве, который привел армии Запада к вратам Тангородрима, с ледяным гневом врубается в живых мертвецов, уничтожает легионы зла по одному слову, и дает силы тела и разума, подобные Майар. 'Ни в одной истории не рассказывается о марше войска Валар на север в Средиземье, потому что там не было ни одного из эльфов, что жили и мучились в здешнем мире. Силы Валар выступили с запада, и вызов труб Эонве потряс небо...'
103	of Balli Stonehand	Балли Каменной Руки			The twin blades of this weapon were forged in Belegost, and powerful forces to resist and endure lie ready for he who shall wield it once more.	Клинки этого оружия были выкованы в Белегосте, и мощные силы защиты и спасения лежат в нем готовыми для своего нового владельца.
104	'Lotharang'	'Лотаранг'	Your {kind} radiate{s} deep purple...	Ваш {kind} светится глубоким фиолетовым...	A superbly crafted double-bladed axe once borne by Ceruthain, commander of the Rangers of Arnor.	Прекрасно сделанная секира Керутаина, командира Следопытов Арнора.
105	'Mundwine'	'Мэндвайн'			A massive axe with twin razor-sharp heads, so large that it usually requires two hands to wield, with spells to ward off the elements intricately engraved upon its surface in filleted gold.	Массивная секира с двумя острейшими лезвиями, настолько большая, что она обычно требует две руки для использования, с заклинаниями защиты от элементов, написанными на ее поверхности золотом.
106	'Barukkheled'	'Баруккелед'			A royal heirloom of the southern coast, strong in combat against the evil creatures of earth.	Королевское наследство южного берега, эффективное в бою против злых существ нашего мира.
107	of Wrath	Ярости			A massive triple-pronged spear, so great it normally requires two hands to wield, evoking the spirit of Osse who with it pierced legions of evil and undead.	Огромный массивный трезубец, хранящий дух Оссе, кто пронизывал им легионы зла и мертвецов.
108	of Ulmo	Ульмо	Your {kind} glow{s} deep red...	Ваш {kind} светится глубоким красным...	The awesome weapon of the Vala Ulmo, Lord of Waters.  Mightiest of all the powers of good save Manwë himself, Ulmo laughs to scorn the dread powers of the undead, and is utterly in command of the Element of water.	Могучее оружие Ульмо, Властелина Вод. Величайший из сил добра, кроме самого Манве; смех Ульмо обращает в ужас армии Саурона. 'В глубинах океана Ульмо творит музыку, величественную и ужасную. И во всех водных артериях мира слышны отзвуки этой музыки, радостной и печальной, потому что хотя фонтаны, вздымающиеся под солнцем, искрятся радостью, истоки их лежат в полных печали подземных водоемах.'
109	'Avavir'	'Ававир'	{name} pulses a soft white.	{name} светится мягким белым.	Holding elemental powers whose struggles turn this weapon red and purest white, this shining reaper bears within it a power of going forth and returning.	Содержащая силы элементов, пытающиеся сделать это оружие раскаленно-красным и чистейшим белым, эта блестящая коса содержит силы возвращения.
110	of Húrin	Хурина	{name} glows in anger!	{name} горит яростью!	Wielded by Húrin Thalion, last lord of Dor-Lómin at the Battle of Tears Unnumbered.  He stood alone, his friends and kinsmen dead about him, his axe smoking in the black blood of Gothmog's troll-guard.  No less than seventy times, as he slew his foes, did he utter his mighty war-cry: "Aurë entuluva!" - "Day shall come again!"	Оружие Хурина Талиона, последнего властителя Дор-Ломина, в Битве Бесчисленных Слез. Он стоял один, возле тел друзей и родичей, его топор дымился от черной крови троллей Госмога. Семьдесят раз, повергая врага, он повторял свой отчаянный клич: "Ауре Энтулува!" - "День наступит снова!"
111	'Grond'	'Гронд'			The mighty Hammer of the Underworld, blackened by doomspells of shattering.  Its wielder holds the lives of all Morgoth's servants in his hand.	Могучий молот преисподней, черный от заклятий. Тот, кто держит его, держит жизни всех прислужников Моргота в своей руке.
112	'Totila'	'Тотила'	{name} glows in scintillating colours...	{name} светится странными цветами...	A flail whose head befuddles those who stare as you whirl it round and becomes a fiery comet as you bring it down.	Сам вид этого оружия ошарашивает тех, кто смотрит, как вы размахиваете им, и оно становится огненной кометой, когда вы опускаете его.
113	'Thunderfist'	'Громовой Кулак'			The long-lost weapon of Kzurin, Dwarven champion of ancient Belegost Runes of strength adorn its handle, and flames and sparks roar and crackle around its massive head.	Давно утерянное оружие Кзурина, гномьего рыцаря из древнего Белегоста, с рунами силы на рукояти, и огоньками и искрами, трещащими вокруг него.
114	'Bloodspike'	'Кровавый Шип'			You feel strong and firm of foot as you whip its spiked orb around and bathe it in the blood of your foes.	Вы чувствуете странное спокойствие, размахивая этим массивный шаром с шипами на цепи, и омывая его в крови врагов.
115	'Firestar'	'Огненная Звезда'	{name} rages in fire...	{name} пылает огнем...	A famed battle-lord of old with a head as ruddy as embers that can yet rise up in wrath.	Знаменитое оружие прошлого. Его наконечник наливается гневным жаром при виде врагов.
116	'Taratol'	'Таратол'	{name} glows bright green...	{name} светится ярко-зеленым...	A great ridged mace that surrounds you with a nimbus of living lightning.  You remain utterly untouched, even as fat sparks crackle around your fingers and eyebrows.	Огромная булава, окружающая вас нимбом живой молнии; вы, однако, остаетесь незадетыми ей, даже когда толстые искры проскакивают у самых пальцев.
117	of Aulë	Ауле			The wondrous hammer of Aulë, creator of the wise Dwarven lords of old.   It bears demolishing magics that no serpent or demon can withstand, and invokes the strength of mountains to ward off the tumult of the elements.	Чудесный молот Ауле, создателя мудрых Отцов Гномов, содержащий чары разрушения, против которых не сможет выстоять ни один змей или демон, и содержащий силы самих гор для защиты от элементов. 'Посреди Благословенного Королевства находился большой дом Ауле, и он долго трудился там, потому что в сотворении всего в этой стране Ауле играл главную роль. И он создал много прекрасных и совершенных работ - и открыто для всех, и тайно.'
118	'Nar-i-vagil'	'Нар-и-вагиль'			Named for a fiery star and set with priceless gems bearing mystic auras of protection and thought.	Посох, названный в честь большой звезды, и украшенный камнями защиты и мысли. Замечательное оружие странствующего мага.
119	'Eriril'	'Эририль'	Your {kind} glow{s} yellow...	Ваш {kind} светится желтым...	The radiant golden staff of an Istar of legend; this wizard's companion grants keen sight and clear knowledge of many hidden things.	Лучистый золотой посох Истар легенды; этот компаньон мага дает острый взор и ясное знание многих вещей.
120	of Olórin	Олорина	{name} glows brightly...	{name} светится загорается...	A staff tall and sturdy, borne of old by Gandalf.  Rough-hewn runes that invoke the element of Earth stand bold upon its gnarled surface, and no creature who lives in the shadow of mountains can withstand the blows it deals.	Большой прочный посох самого Гэндальфа. Руны элемента Земли вырезаны на его корявой поверхности, и ни одно существо из глубин гор не сможет устоять перед его ударами. 'Самым мудрым из Майяр был Олорин, которого позже звали Митрандиром и Гэндальфом...'
121	'Deathwreaker'	'Сеятель Смерти'			A weapon so massive it seems beyond the strength of mortals, yet you feel the might of giants within you as you heft it.  As you grip the handle of ebony and steel, coronas of fire blaze, and mighty spells to preserve magic surge around you.  You wield the Fear of Dragons and the Despair of the Undead!	Оружие настолько огромное, что поднять его кажется за пределами возможностей смертных, но вы чувствуете в себе силы гигантов, берясь за него. Огненные вспышки и могучие заклинания сохранения магии сверкают вокруг. Вы держите Ужас Драконов и Отчаянье Мертвецов!
122	'Turmil'	'Турмиль'	{name} glows white...	{name} светится белым...	Once wielded by the High Priest of Meneltarma, this great mace gleams coldly as though moonlit, and can strike equally mighty spiritual and physical blows.	Носимый Высшим Жрецом Менельтармы, этот большой молот холодно светится, как будто освещенный луной. Он может нанести удар духовный не менее могучий, чем физический.
123	of Gothmog	Госмога	The {kind} glow{s} deep red...	{kind} светится глубоким красным...	A great crackling Balrog's whip of flame, this weapon could bring even Ungoliant to heel.	Огромный трещащий хлыст пламени Балрога. Это оружие могло поставить саму Унголиант на колени. 'Появился Госмог, верховный начальник Ангбэнда, и враги черным клином врезались в войска эльфов... Затем Госмог ударил на Фингона, и то была страшная встреча.'
124	'Belthronding'	'Бельтрондинг'			The great bow of Beleg Cúthalion, the most famous archer of the Elves.  Its backbone of black yew holds strings of bear sinew, and of old, only Beleg himself could draw them.	Большой тисовый лук Белега Куталиона, с тетивой из эльфийских волос, слабо светящейся чистым бледным золотом.
125	of Bard	Барда			The great yew bow of grim-faced Bard, who shot the mightiest arrow that songs record.	Огромный лук угрюмого Барда - того, кто выпустил величайшую стрелу, помянутую когда-либо в песне.
126	'Cubragol'	'Кубрагол'			A crossbow that grants fiery speed to he who finds it, and from which shoot bolts that blaze with flame unquenchable.	Арбалет, дающий огненную скорость нашедшему его, и позволяющий стрелять болтами, горящими негасимым пламенем.
127	of Umbar	Умбара	Your {kind} form{s} a magical arrow...	Ваш {kind} формирует магическую стрелу...	A great brazen arbalest with arms of gleaming steel.  It shoots quarrels with mighty power for those brave enough to risk betrayal.	Огромный стальной арбалет с могучим ударом, для тех, кто достаточно смел, чтобы рисковать предательством.
128	of Amrod	Амрода			One of a pair of hunting bows once belonging to Fëanor's two youngest sons.  The bows are like and yet unlike, much as the twin brothers were.	Охотничий лук одного из младших сыновей-близнецов Феанора. Похожи и непохожи они были в своих странствиях среди зеленых эльфов Оссирианда.
129	of Amras	Амраса			One of a pair of hunting bows once belonging to Fëanor's two youngest sons.  The bows are like and yet unlike, much as the twin brothers were.	Охотничий лук одного из младших сыновей-близнецов Феанора. Похожи и непохожи они были в своих странствиях среди зеленых эльфов Оссирианда.
130	of Náin	Нейна	Your {kind} pulsate{s}...	Ваш {kind} пульсирует...	A mighty Dwarven mattock, as good for hewing orc-necks as for hewing stone.  Náin, King of the Iron Hills, brought his mattock-wielding warriors to the Battle of Azanulbizar, and no Orc could withstand them, although Náin himself fell before their lord Azog.	Большой гномий заступ, хорош для ломания шей орков, как и для дробления камня. Нейн, Король Железных Холмов, привел своих войнов на битву при Азуналбизаре, и ни один орк не устоял перед ним, хоть Нейн и пал перед их командиром Азогом.
131	of Erebor	Эребора			A fine dwarven pick, good for a miner, and suitable as a weapon should the wielder ever tunnel through into a foe's stronghold.	Отличная кирка гномов, подходящая как оружие осмелившемуся делать подкоп в крепость врага.
132	of Fundin Bluecloak	Фандина Синего Плаща	The {kind} flood{s} the area with goodness...	{kind} заполняет подземелье добром...	The weapon of a mighty dwarven priest, whose shade is rumoured to haunt the halls of Angband still.	Оружие великого гнома-священника, чья тень все еще обитает в Ангбэнде.
133	of Azaghâl	Азагала			Azaghâl, Dwarf-king of Belegost, fell before Glaurung in the Battle of Unnumbered Tears.  With his final breath, Azaghâl plunged this blade into Glaurung's belly with such a blow that the Father of Dragons fled the field with all his kin, and was at first believed to be mortally wounded.	Азагал, король Белегоста, пал перед Глаурунгом в Битве Бесчисленных Слез, но своим последним ударом он нанес ему ранение настолько сильное, что Отец Драконов со всеми родичами улетел с поля боя, и был, как считали сначала, смертельно ранен. 'Когда же в ярости Глаурунг обернулся и сразил Азагала, повелителя Белегоста, Азагал последним ударом вонзил нож ему в живот и ранил дракона, и Глаурунг бежал с поля битвы, а звери Ангбэнда в панике последовали за ним.'
134	of the Haradrim	Харадрима	{name} glows in anger!	{name} горит яростью!	The painted shield of a chieftain of Far Harad, gaudy and barbaric.  Its wielder will fear nothing and fight with unnatural strength, but also draw attention to himself.	Раскрашенный щит вождя Дальнего Харада, довольно грубо сделанный. Его носитель будет незнаком со страхом, но этом же он и привлечет ненужное внимание к себе.
135	of Elros	of Elros			The shield of Elros Tar-Minyatur, founder of Númenor. Granted long life by the Valar, even his shield became imbued with power.	The shield of Elros Tar-Minyatur, founder of Númenor. Granted long life by the Valar, even his shield became imbued with power.
136	of Éowyn	Эовин			The blade of the legendary Shieldmaiden of Rohan, who slew the foul steed of the Morgul-lord before striking down the mighty Witch-king himself, whom no mortal man could hinder.	Клинок легендарной Девы Рохана, нанесшей могучий удар повелителю Моргула, против которого не мог выстоять ни один смертный человек, и убившей его ужасного летающего зверя.
137	of Radagast	of Radagast			Made of brown leather, covered with scuff marks and dust, still these boots possess the magic of Radagast, friend of birds and nature.	Made of brown leather, covered with scuff marks and dust, still these boots possess the magic of Radagast, friend of birds and nature.
138	'Stormwalker'	'Stormwalker'	{name} glows in anger!	{name} горит яростью!	And they hewed off Gelmir's hands and feet, and his head last, within sight of the Elves, and left him. By ill chance there stood Gwindor of Nargothrond, the brother of Gelmir. Now his wrath was kindled to madness, and he leapt forth on horseback, and many riders with him; and they pursued the heralds and slew them, and drove on deep into the main host.	And they hewed off Gelmir's hands and feet, and his head last, within sight of the Elves, and left him. By ill chance there stood Gwindor of Nargothrond, the brother of Gelmir. Now his wrath was kindled to madness, and he leapt forth on horseback, and many riders with him; and they pursued the heralds and slew them, and drove on deep into the main host.
